,No Mhs,Kalkulus 1 TP1,Kalkulus TP2,Kalkulus 1 UTS,Kalkulus 1 UAS,Kalkulus 1 Rata-Rata,Data Sci IoT TP1,Data Sci IoT TP2,Data Sci IoT UTS,Data Sci IoT UAS,Data Sci IoT Rata-Rata,Keamanan Komp TP1,Keamanan Komp TP2,Keamanan Komp UTS,Keamanan Komp UAS,Keamanan Komp Rata-Rata,Jaringan Komp TP1,Jaringan Komp TP2,Jaringan Komp UTS,Jaringan Komp UAS,Jaringan Komp Rata-Rata,Machine Learning Lanjut TP1,Machine Learning Lanjut TP2,Machine Learning Lanjut UTS,Machine Learning Lanjut UAS,Machine Learning Lanjut Rata-Rata,Pemodelan B. Objek TP1,Pemodelan B. Objek TP2,Pemodelan B. Objek UTS,Pemodelan B. Objek UAS,Pemodelan B. Objek Rata-Rata,Pengolahan Gbr Data Sci TP1,Pengolahan Gbr Data Sci TP2,Pengolahan Gbr Data Sci TP3,Pengolahan Gbr Data Sci TP4,Pengolahan Gbr Data Sci Rata-Rata,Pemrograman Web TP1,Pemrograman Web TP2,Pemrograman Web UTS,Pemrograman Web UAS,Pemrograman Web Rata-Rata,Pemrograman Mobile TP1,Pemrograman Mobile TP2,Pemrograman Mobile UTS,Pemrograman Mobile UAS,Pemrograman Mobile Rata-Rata,Blockchain TP1,Blockchain TP2,Blockchain UTS,Blockchain UAS,Blockchain Rata-Rata,Topik Skripsi
342,342,9,7,9,10,9,5,1,4,2,3,5,9,5,6,6,10,12,8,4,8,12,12,11,8,11,9,11,9,11,10,12,9,6,6,8,11,9,8,11,10,12,10,8,11,10,12,11,10,7,10,Pemodelan B. Objek
343,343,12,12,11,8,11,9,7,6,7,7,6,3,8,8,6,11,11,12,8,10,5,3,2,6,4,8,5,1,5,5,7,10,4,6,7,8,5,5,1,5,9,7,12,10,10,7,9,5,10,8,Kalkulus 1
344,344,7,10,8,3,7,9,7,4,7,7,10,9,5,1,6,9,10,6,3,7,10,10,7,10,9,5,4,1,1,3,3,7,1,6,4,9,10,6,6,8,3,2,5,2,3,3,4,2,3,3,Machine Learning Lanjut
345,345,11,12,12,9,11,9,10,8,11,10,12,12,12,8,11,8,9,4,6,7,9,5,9,7,8,10,8,12,11,10,5,4,5,8,6,10,10,7,11,10,10,7,4,6,7,11,7,10,7,9,Keamanan Komp
346,346,6,7,5,4,6,8,4,2,6,5,9,6,10,5,8,9,7,8,3,7,7,7,4,8,6,6,5,8,4,6,7,4,9,1,5,7,7,3,8,6,9,9,11,7,9,5,4,4,9,6,Jaringan Komp
347,347,12,11,11,8,10,7,10,9,12,10,9,8,7,9,8,7,9,5,4,6,11,11,9,9,10,12,9,9,6,9,5,9,9,8,8,8,8,11,9,9,6,7,11,5,7,6,6,6,5,6,Kalkulus 1
348,348,4,7,3,7,5,4,4,1,4,3,3,2,3,2,2,5,9,9,5,7,4,2,5,4,4,9,6,10,5,8,10,6,6,10,8,6,5,1,5,4,7,9,10,6,8,4,2,4,3,3,Pemodelan B. Objek
349,349,11,12,11,8,10,12,11,9,11,11,6,10,11,7,8,7,9,4,5,6,5,8,9,4,6,8,6,2,6,6,9,12,11,6,10,8,9,7,10,8,10,8,10,4,8,12,9,10,12,11,Blockchain
350,350,7,6,10,6,7,6,6,11,4,7,12,10,6,10,10,12,9,11,6,10,8,11,9,7,9,9,6,8,2,6,8,11,4,1,6,6,6,6,5,6,7,11,5,9,8,7,4,1,3,4,Keamanan Komp
351,351,5,6,6,6,6,9,12,7,7,9,9,5,4,9,7,11,9,6,11,9,10,10,10,10,10,10,10,11,9,10,7,6,11,7,8,12,10,7,12,10,8,5,5,2,5,11,9,6,4,8,Pemodelan B. Objek
352,352,8,10,4,8,8,7,10,10,3,8,4,7,6,4,5,7,6,8,7,7,9,8,5,7,7,4,3,4,7,4,5,6,8,1,5,6,10,6,10,8,4,8,3,8,6,6,9,3,7,6,Data Sci IoT
353,353,8,6,9,3,6,8,9,9,10,9,7,4,5,8,6,8,11,10,5,8,5,7,7,10,7,11,9,8,5,8,10,7,10,7,8,8,8,10,11,9,12,11,7,5,9,5,6,9,5,6,Pemrograman Web
354,354,10,11,7,7,9,8,12,12,8,10,5,5,9,1,5,12,11,12,11,12,7,7,6,4,6,7,10,6,2,6,12,11,11,12,12,8,12,7,10,9,7,3,8,3,5,6,10,3,6,6,Data Sci IoT
355,355,8,6,5,1,5,9,7,5,9,8,8,4,8,9,7,10,7,3,4,6,6,7,11,5,7,8,8,7,10,8,8,10,11,4,8,9,9,5,8,8,12,11,8,12,11,10,7,4,2,6,Pemrograman Mobile
356,356,5,3,1,6,4,10,9,6,3,7,2,2,6,6,4,8,4,9,5,6,6,5,10,9,8,6,7,9,10,8,3,5,3,6,4,10,10,6,4,8,2,6,6,7,5,4,5,8,4,5,Machine Learning Lanjut
357,357,8,8,11,4,8,5,3,1,4,3,7,6,4,5,6,9,10,9,12,10,11,9,8,12,10,8,12,7,12,10,11,7,7,11,9,12,12,11,9,11,8,12,9,12,10,5,3,2,4,4,Jaringan Komp
358,358,7,11,5,3,6,10,9,12,8,10,12,12,9,7,10,6,10,11,4,8,8,8,6,4,6,5,5,8,3,5,5,9,10,3,7,10,11,12,6,10,8,6,7,9,8,7,5,5,4,5,Data Sci IoT
359,359,5,4,8,8,6,6,3,4,7,5,11,10,11,12,11,8,6,3,5,6,9,8,5,10,8,10,12,10,12,11,11,12,7,5,9,7,3,4,6,5,9,8,5,6,7,9,6,3,6,6,Keamanan Komp
360,360,8,5,9,4,6,5,8,2,4,5,9,9,10,6,8,6,5,2,3,4,9,5,9,7,8,7,6,2,1,4,4,4,4,5,4,6,6,9,8,7,9,8,9,7,8,4,1,2,1,2,Keamanan Komp
361,361,10,7,4,8,7,10,7,7,7,8,5,1,3,3,3,7,6,9,7,7,7,3,6,3,5,12,8,7,11,10,8,11,10,7,9,8,6,11,8,8,8,12,5,6,8,9,12,11,11,11,Blockchain
362,362,6,9,2,4,5,8,5,10,9,8,6,9,10,4,7,8,9,5,1,6,8,8,8,6,8,7,3,5,7,6,6,10,4,5,6,10,10,8,8,9,9,7,9,5,8,7,6,11,9,8,Data Sci IoT
363,363,8,9,5,3,6,7,5,5,1,4,11,10,11,11,11,9,6,5,8,7,6,6,10,9,8,10,9,10,10,10,6,2,5,1,4,12,11,11,9,11,10,12,8,12,10,6,5,9,10,8,Pemrograman Web
364,364,9,5,4,2,5,7,6,8,5,6,9,10,8,4,8,4,6,1,2,3,7,10,10,7,8,5,6,8,9,7,8,10,7,8,8,5,6,8,7,6,8,8,8,10,8,9,7,3,3,6,Keamanan Komp
365,365,12,9,11,12,11,11,11,10,11,11,5,4,8,7,6,12,8,7,6,8,12,10,9,8,10,5,6,2,5,4,12,10,8,7,9,6,5,3,1,4,11,8,10,10,10,5,9,2,5,5,Kalkulus 1
366,366,12,10,11,9,10,7,8,7,7,7,10,8,5,8,8,5,1,4,4,4,12,12,8,8,10,6,4,9,9,7,5,5,8,3,5,7,4,3,6,5,12,10,11,10,11,5,5,3,3,4,Kalkulus 1
367,367,9,11,9,7,9,11,12,10,11,11,5,6,7,2,5,6,4,1,5,4,11,9,5,4,7,6,10,9,5,8,8,11,8,9,9,11,12,11,12,12,6,5,1,2,4,9,9,6,11,9,Data Sci IoT
368,368,3,1,5,4,3,6,5,10,6,7,6,4,5,1,4,7,5,7,8,7,4,6,1,6,4,7,6,6,3,6,7,10,10,10,9,9,10,7,7,8,3,4,4,3,4,6,8,10,10,8,Pengolahan Gbr Data Sci
369,369,6,5,1,4,4,6,10,2,3,5,7,9,12,6,8,6,4,2,5,4,10,8,7,9,8,6,5,9,1,5,12,12,8,11,11,10,12,7,9,10,8,6,7,10,8,7,11,10,10,10,Blockchain
370,370,8,10,8,9,9,9,6,9,3,7,11,10,10,8,10,12,10,12,8,10,11,10,6,5,8,8,9,4,9,8,8,7,5,4,6,5,2,1,4,3,5,5,4,8,6,7,8,10,7,8,Jaringan Komp
371,371,9,6,2,5,6,11,11,10,12,11,10,10,10,11,10,9,5,10,10,8,9,12,11,9,10,9,10,12,12,11,11,12,11,9,11,10,10,12,11,11,10,9,5,3,7,9,7,7,8,8,Data Sci IoT
372,372,6,4,2,3,4,4,3,6,8,5,9,6,10,3,7,3,7,2,6,4,5,8,8,8,7,6,10,7,5,7,8,5,8,5,6,8,5,6,2,5,3,4,6,3,4,7,8,10,7,8,Keamanan Komp
373,373,5,1,3,3,3,12,8,10,10,10,8,8,6,2,6,12,11,7,7,9,9,9,10,11,10,8,6,7,6,7,12,9,6,6,8,8,11,4,5,7,9,11,12,6,10,7,11,4,6,7,Data Sci IoT
374,374,8,11,9,10,10,6,7,11,5,7,10,8,10,4,8,11,10,9,11,10,11,11,9,7,10,11,12,10,11,11,8,5,8,8,7,7,11,9,5,8,5,2,1,5,3,6,2,1,6,4,Jaringan Komp
375,375,8,5,3,7,6,10,6,8,2,6,9,5,3,1,4,9,10,11,11,10,10,10,11,11,10,6,10,4,3,6,12,12,11,7,10,7,10,10,5,8,6,2,6,2,4,5,4,9,3,5,Pengolahan Gbr Data Sci
376,376,5,5,7,1,4,3,2,3,2,2,9,8,6,9,8,4,8,7,8,7,10,7,6,2,6,9,6,8,9,8,2,6,4,7,5,4,8,3,3,4,2,4,6,5,4,9,5,5,3,6,Jaringan Komp
377,377,6,6,8,4,6,9,5,4,7,6,6,10,9,5,8,8,5,5,6,6,9,7,10,3,7,6,5,5,3,5,9,7,9,11,9,6,7,5,8,6,6,6,4,8,6,11,12,9,8,10,Keamanan Komp
378,378,12,9,7,9,9,12,10,8,8,10,8,11,11,7,9,7,5,5,4,5,5,9,9,5,7,10,10,12,10,10,7,6,10,4,7,8,10,12,7,9,11,11,11,7,10,6,2,6,4,4,Pemrograman Mobile
379,379,12,10,6,3,8,11,11,12,9,11,9,7,12,12,10,11,10,12,9,10,11,11,12,9,11,12,10,11,6,10,11,9,7,8,9,7,5,1,6,5,5,4,3,6,4,10,10,8,9,9,Machine Learning Lanjut
380,380,8,9,4,8,7,5,1,6,3,4,5,4,3,5,4,10,6,8,3,7,9,6,6,8,7,5,5,8,7,6,10,10,10,9,10,3,6,1,3,3,4,2,6,2,4,5,3,8,7,6,Pengolahan Gbr Data Sci
381,381,10,6,8,3,7,11,8,10,9,10,7,6,7,3,6,7,9,4,2,6,10,12,8,5,9,5,9,4,2,5,11,12,7,6,9,10,9,5,3,7,10,12,7,9,10,9,11,9,9,10,Data Sci IoT
382,382,10,6,4,3,6,8,10,6,2,6,9,6,6,5,6,6,7,3,1,4,11,11,9,7,10,7,5,1,1,4,5,6,3,3,4,11,10,10,10,10,7,3,4,4,4,8,7,6,6,7,Blockchain
383,383,9,12,6,3,8,5,5,5,4,5,11,7,5,4,7,9,11,12,10,10,8,11,12,7,10,9,5,6,10,8,10,7,4,3,6,10,7,7,11,9,11,7,12,5,9,10,10,12,10,10,Blockchain
384,384,8,4,8,8,7,4,8,9,5,6,6,5,5,9,6,3,2,1,4,2,6,5,1,5,4,4,7,4,1,4,2,3,6,7,4,4,1,5,2,3,10,9,6,3,7,5,5,10,1,5,Data Sci IoT
385,385,11,12,9,6,10,11,10,8,7,9,12,11,10,12,11,8,7,9,6,8,10,11,8,6,9,12,9,11,11,11,9,8,7,3,7,9,8,6,9,8,6,5,5,4,5,7,6,2,1,4,Keamanan Komp
386,386,10,9,9,12,10,9,8,7,5,7,10,6,6,9,8,9,7,8,4,7,5,1,5,1,3,5,6,8,7,6,8,4,4,1,4,8,12,6,3,7,6,8,7,10,8,9,10,7,5,8,Kalkulus 1
387,387,9,7,5,8,7,11,11,9,12,11,12,8,10,5,9,7,3,8,2,5,8,4,5,2,5,6,5,9,1,5,8,10,12,8,10,10,10,6,7,8,6,4,4,8,6,6,8,9,8,8,Data Sci IoT
388,388,9,9,9,6,8,10,7,5,3,6,7,5,8,8,7,10,8,6,7,8,10,6,3,7,6,8,7,7,3,6,5,6,8,2,5,9,7,4,9,7,8,6,10,6,8,7,7,4,8,6,Jaringan Komp
389,389,6,5,4,4,5,10,6,5,1,6,10,7,6,11,8,5,7,8,10,8,6,7,9,5,7,12,8,7,9,9,9,9,8,12,10,8,10,5,2,6,6,10,11,2,7,9,12,6,10,9,Pengolahan Gbr Data Sci
390,390,10,10,7,7,8,8,8,10,5,8,10,10,10,8,10,9,11,9,9,10,5,4,2,6,4,12,11,11,11,11,6,8,8,6,7,12,11,7,11,10,6,3,2,2,3,11,7,5,5,7,Keamanan Komp
391,391,10,12,12,11,11,10,7,11,3,8,7,11,7,11,9,5,3,1,1,2,11,9,11,12,11,12,9,10,7,10,10,9,10,9,10,10,6,10,6,8,10,10,9,8,9,9,12,9,6,9,Kalkulus 1
392,392,9,7,5,2,6,7,4,7,3,5,7,4,6,4,5,3,3,7,5,4,4,4,1,6,4,3,5,4,7,5,8,9,9,10,9,7,6,3,2,4,4,3,4,3,4,2,1,2,2,2,Pengolahan Gbr Data Sci
393,393,6,8,10,4,7,6,3,1,3,3,11,12,9,12,11,6,7,11,5,7,6,10,3,2,5,6,3,8,4,5,7,8,9,9,8,11,10,9,10,10,6,10,7,11,8,9,12,8,5,8,Pemrograman Web
394,394,6,3,6,4,5,8,6,5,4,6,8,4,1,2,4,8,10,4,8,8,7,8,6,11,8,11,8,9,11,10,12,10,6,3,8,7,10,9,8,8,10,9,12,11,10,11,8,4,7,8,Jaringan Komp
395,395,5,1,3,2,3,5,8,3,8,6,8,7,9,12,9,10,11,12,8,10,10,6,7,8,8,8,5,10,4,7,12,10,10,10,10,8,12,11,7,10,9,5,4,8,6,11,7,5,10,8,Pemrograman Web
396,396,4,2,5,1,3,9,7,8,6,8,5,8,5,5,6,2,3,5,2,3,6,2,4,7,5,3,5,8,3,5,3,4,8,2,4,7,9,4,5,6,6,4,8,6,6,10,7,4,8,7,Data Sci IoT
397,397,5,4,6,2,4,9,6,4,5,6,7,7,10,10,8,7,3,8,2,5,10,6,3,6,6,6,10,3,1,5,10,12,6,8,9,12,8,4,9,8,12,12,12,11,12,9,5,5,6,6,Keamanan Komp
398,398,9,6,2,4,5,7,10,5,6,7,6,5,1,3,4,8,6,7,4,6,8,12,8,12,10,6,6,6,6,6,9,7,4,2,6,12,10,11,8,10,11,11,9,9,10,5,5,6,7,6,Machine Learning Lanjut
399,399,5,3,7,4,5,7,8,12,7,8,7,6,3,4,5,11,11,7,10,10,9,6,7,6,7,7,11,7,7,8,12,11,12,12,12,11,8,9,12,10,7,6,7,11,8,8,10,5,4,7,Pengolahan Gbr Data Sci
400,400,10,9,10,8,9,6,6,4,5,5,5,3,5,2,4,4,3,8,1,4,10,6,2,3,5,4,2,4,5,4,5,8,8,3,6,6,5,7,8,6,10,8,6,10,8,8,5,3,8,6,Pemrograman Mobile
401,401,12,8,8,10,10,8,7,7,5,7,8,10,10,6,8,6,8,5,5,6,10,8,12,10,10,10,8,8,11,9,5,3,3,4,4,9,12,10,10,10,6,7,8,3,6,5,5,4,5,5,Pemrograman Web
402,402,10,10,9,8,9,12,10,10,11,11,8,7,10,11,9,5,3,7,6,5,7,3,1,6,4,11,12,8,7,10,5,2,3,6,4,11,7,11,12,10,11,12,7,3,8,7,9,12,11,10,Pemrograman Web
403,403,10,10,11,8,10,5,8,9,9,8,9,12,6,2,7,8,4,2,3,4,6,2,1,6,4,5,8,9,2,6,5,8,2,2,4,7,5,3,5,5,5,4,1,4,4,9,11,5,2,7,Kalkulus 1
404,404,10,6,4,2,6,8,6,5,4,6,2,2,4,7,4,4,4,9,3,5,6,8,7,5,6,10,10,9,9,10,2,3,2,4,3,9,5,5,3,6,2,6,3,2,3,4,1,6,5,4,Kalkulus 1
405,405,12,11,7,7,9,9,11,12,9,10,5,7,7,10,7,5,6,2,7,5,12,9,9,11,10,10,8,7,6,8,10,6,10,6,8,12,8,5,1,6,12,11,10,10,11,6,10,8,6,8,Pemrograman Mobile
406,406,5,1,4,5,4,6,5,7,1,5,6,6,4,7,6,5,1,5,4,4,11,12,7,6,9,5,4,2,3,4,5,8,1,1,4,11,9,6,5,8,9,6,11,3,7,7,4,9,9,7,Pemrograman Web
407,407,8,11,7,8,8,7,8,4,5,6,8,7,4,8,7,10,8,8,5,8,7,11,8,3,7,5,5,7,3,5,10,8,7,4,7,7,4,1,5,4,11,11,12,7,10,10,11,10,7,10,Kalkulus 1
408,408,6,9,5,1,5,8,7,9,5,7,7,3,1,4,4,5,7,7,7,6,2,6,7,5,5,10,8,6,6,8,5,2,2,3,3,7,5,9,6,7,7,6,10,8,8,2,3,6,3,4,Pemodelan B. Objek
409,409,10,9,9,9,9,10,9,10,10,10,5,9,10,8,8,12,10,12,6,10,5,6,2,6,5,10,9,7,8,8,12,8,4,5,7,6,3,2,2,3,6,10,5,2,6,8,7,10,7,8,Jaringan Komp
410,410,8,6,6,11,8,9,11,8,10,10,9,6,3,1,5,8,8,11,10,9,9,8,8,4,7,8,7,4,1,5,7,5,5,9,6,8,8,10,12,10,11,7,9,3,8,11,8,4,1,6,Data Sci IoT
411,411,7,5,9,7,7,9,7,8,8,8,11,12,7,7,9,7,11,10,8,9,6,3,5,4,4,12,11,12,10,11,10,6,9,5,8,5,8,4,2,5,11,12,10,8,10,10,10,6,2,7,Pemrograman Mobile
412,412,9,8,6,8,8,5,8,7,8,7,7,7,9,8,8,3,6,5,1,4,8,10,10,10,10,9,8,4,3,6,8,7,4,9,7,10,6,5,5,6,3,2,2,4,3,10,9,8,6,8,Kalkulus 1
413,413,7,7,11,10,9,8,10,9,12,10,5,1,4,1,3,10,8,5,3,6,7,10,9,12,10,6,10,8,2,6,9,7,3,7,6,12,8,9,6,9,9,10,11,7,9,5,6,5,3,5,Data Sci IoT
414,414,11,11,11,8,10,8,11,12,5,9,11,12,10,8,10,12,11,8,4,9,11,11,9,10,10,7,8,4,6,6,7,11,6,7,8,11,8,4,2,6,11,12,10,9,10,12,8,9,11,10,Kalkulus 1
415,415,11,11,12,11,11,8,4,2,6,5,10,6,8,4,7,7,7,9,9,8,11,9,5,9,8,11,9,7,10,9,7,6,4,6,6,10,6,5,10,8,9,8,5,2,6,12,10,7,11,10,Blockchain
416,416,10,9,9,6,8,9,5,8,10,8,10,7,5,6,7,3,7,3,8,5,6,4,1,1,3,4,1,1,2,2,9,6,2,1,4,10,6,2,1,5,3,3,8,8,6,7,6,9,5,7,Data Sci IoT
417,417,6,5,7,8,6,7,7,3,1,4,12,9,6,2,7,9,12,6,10,9,11,12,8,5,9,9,5,7,5,6,12,8,7,12,10,6,9,3,8,6,9,7,7,11,8,12,8,9,9,10,Pengolahan Gbr Data Sci
418,418,6,7,4,9,6,10,7,6,2,6,7,8,12,8,9,9,5,8,10,8,9,6,8,5,7,8,5,7,2,6,9,7,12,5,8,7,8,6,3,6,11,10,10,11,10,11,7,5,9,8,Jaringan Komp
419,419,6,4,5,8,6,8,6,3,4,5,10,9,5,4,7,5,2,3,7,4,5,1,6,6,4,7,4,2,4,4,8,6,4,5,6,9,9,12,10,10,5,8,5,3,5,11,10,6,9,9,Keamanan Komp
420,420,9,5,2,2,4,5,3,3,1,3,3,1,6,4,4,7,10,6,7,8,3,6,3,6,4,4,7,3,8,6,7,3,8,7,6,10,9,5,7,8,7,9,9,9,8,10,10,7,4,8,Pemrograman Web
421,421,11,11,10,6,10,7,4,2,4,4,8,6,4,3,5,9,7,10,3,7,11,12,12,7,10,9,8,12,7,9,7,4,6,7,6,6,2,2,1,3,10,12,10,6,10,11,11,8,10,10,Machine Learning Lanjut
422,422,11,10,8,9,10,6,6,3,8,6,8,9,5,10,8,8,11,9,10,10,12,9,10,5,9,7,9,7,7,8,7,9,11,12,10,6,9,3,2,5,6,6,7,2,5,5,6,6,8,6,Jaringan Komp
423,423,8,12,4,8,8,6,5,7,2,5,10,12,12,7,10,11,12,10,9,10,8,11,4,6,7,6,4,4,9,6,8,7,11,12,10,6,6,4,8,6,9,6,11,6,8,10,7,5,10,8,Keamanan Komp
424,424,5,8,7,9,7,3,7,8,3,5,6,3,1,1,3,6,9,9,7,8,2,1,1,4,2,4,8,3,1,4,10,7,10,4,8,9,9,6,3,7,10,7,4,9,8,3,7,1,2,3,Pengolahan Gbr Data Sci
425,425,12,11,9,12,11,7,8,7,8,8,5,6,3,6,5,6,7,7,4,6,6,4,1,6,4,9,12,9,10,10,9,12,8,5,8,11,9,10,8,10,5,7,3,3,4,6,5,6,2,5,Pemodelan B. Objek
426,426,7,7,11,3,7,8,9,4,3,6,12,10,6,10,10,12,10,12,6,10,5,2,1,2,2,10,10,8,8,9,12,12,12,12,12,6,9,5,6,6,10,12,10,6,10,8,10,4,8,8,Jaringan Komp
427,427,7,6,3,8,6,5,8,2,5,5,6,3,6,4,5,8,11,5,7,8,10,11,6,11,10,5,4,5,3,4,11,9,9,5,8,10,7,10,11,10,6,9,5,10,8,10,9,12,10,10,Blockchain
428,428,7,7,5,8,7,8,7,9,6,8,5,6,4,1,4,5,4,6,9,6,9,10,8,8,9,6,2,5,6,5,10,6,10,4,8,9,8,5,2,6,6,2,1,4,3,5,6,1,4,4,Data Sci IoT
429,429,7,11,11,5,8,10,10,7,11,10,6,9,2,7,6,8,10,8,11,9,6,8,3,4,5,6,6,9,4,6,12,11,9,9,10,7,4,9,5,6,11,11,9,5,9,5,8,8,3,6,Pengolahan Gbr Data Sci
430,430,12,8,12,7,10,12,10,12,7,10,5,7,2,3,4,5,2,7,3,4,8,7,7,11,8,5,9,7,1,6,8,5,3,2,4,12,9,8,10,10,6,10,9,9,8,12,10,9,8,10,Pemrograman Web
431,431,8,7,8,10,8,5,6,1,3,4,8,7,9,6,8,6,2,7,1,4,11,7,9,5,8,8,11,7,7,8,5,9,1,3,4,10,10,11,10,10,7,5,3,1,4,7,6,2,3,4,Keamanan Komp
432,432,5,2,4,4,4,7,7,5,4,6,4,5,9,9,7,5,3,2,1,3,9,9,8,10,9,10,10,10,9,10,3,5,8,7,6,3,6,2,5,4,7,5,2,7,5,2,5,6,3,4,Machine Learning Lanjut
433,433,6,3,1,5,4,11,11,12,9,11,11,9,12,7,10,11,12,9,5,9,9,11,9,11,10,6,4,3,5,4,10,6,7,3,6,9,9,8,12,10,9,9,12,8,10,8,7,8,8,8,Data Sci IoT
434,434,11,7,11,6,9,12,12,8,7,10,6,6,10,11,8,5,5,5,3,4,6,8,8,8,8,6,5,9,5,6,9,6,2,3,5,9,10,6,7,8,7,5,8,10,8,5,8,3,2,4,Data Sci IoT
435,435,6,5,3,4,4,10,7,4,6,7,10,10,12,9,10,7,11,7,9,8,9,12,5,8,8,7,10,6,3,6,5,3,2,1,3,7,8,9,5,7,5,9,7,1,6,9,9,11,7,9,Keamanan Komp
436,436,3,3,2,6,4,7,10,6,4,7,2,1,5,5,3,2,5,7,3,4,3,1,6,5,4,10,10,8,6,8,10,7,5,10,8,6,10,10,9,9,7,8,5,6,6,9,6,2,5,6,Pemrograman Web
437,437,10,9,7,8,8,5,9,1,4,5,11,11,7,6,9,11,8,10,11,10,8,4,1,2,4,10,9,12,6,9,8,12,6,3,7,10,8,8,9,9,12,9,9,12,10,11,11,11,7,10,Blockchain
438,438,9,7,10,6,8,12,10,12,7,10,9,6,8,5,7,6,2,4,3,4,12,12,9,5,10,6,8,5,8,7,8,11,8,6,8,6,4,5,2,4,6,3,2,4,4,5,6,1,6,4,Data Sci IoT
439,439,9,5,10,4,7,12,11,10,10,11,9,8,9,6,8,10,12,6,7,9,9,12,11,11,11,5,7,3,3,4,7,7,6,11,8,12,10,9,11,10,11,7,8,7,8,8,5,8,8,7,Machine Learning Lanjut
440,440,3,3,1,4,3,5,7,7,7,6,2,2,1,2,2,5,2,7,3,4,5,7,2,1,4,8,10,10,6,8,10,10,7,10,9,9,6,8,9,8,6,3,6,1,4,4,4,5,5,4,Pemrograman Web
441,441,10,10,12,7,10,7,11,4,2,6,12,12,10,9,11,6,3,5,4,4,6,10,3,4,6,5,5,10,8,7,5,4,8,1,4,5,1,2,4,3,10,10,7,10,9,10,10,8,8,9,Pemrograman Mobile
442,442,5,8,8,2,6,12,10,6,7,9,11,12,12,8,11,5,7,6,8,6,8,9,10,11,10,12,9,12,9,10,12,8,10,10,10,6,9,6,2,6,10,6,10,8,8,12,12,12,8,11,Keamanan Komp
443,443,8,8,9,9,8,5,3,4,8,5,6,6,10,11,8,7,4,3,1,4,12,10,8,9,10,9,10,11,6,9,5,5,2,4,4,6,8,9,6,7,12,9,12,5,10,12,8,4,5,7,Pemodelan B. Objek
444,444,8,8,9,9,8,3,2,7,2,4,7,6,7,2,6,7,3,1,5,4,6,8,5,9,7,4,7,7,6,6,7,7,4,9,7,10,9,10,9,10,9,5,6,8,7,2,3,5,5,4,Kalkulus 1
445,445,5,3,6,6,5,8,5,7,3,6,10,11,11,7,10,8,7,7,9,8,6,10,11,4,8,7,11,4,3,6,11,9,11,11,10,5,7,8,5,6,10,11,10,10,10,11,7,7,7,8,Pemrograman Mobile
446,446,8,5,5,8,6,6,3,2,6,4,10,9,7,6,8,7,7,12,10,9,7,11,5,5,7,6,5,5,7,6,8,8,8,4,7,7,10,11,8,9,7,6,2,7,6,9,6,9,10,8,Pemrograman Web
447,447,5,1,1,1,2,8,9,11,10,10,7,7,5,5,6,12,9,5,1,7,9,5,2,6,6,10,9,8,7,8,6,6,2,7,5,5,6,10,5,6,9,5,7,9,8,11,8,12,8,10,Pemodelan B. Objek
448,448,5,5,2,5,4,2,1,6,5,4,5,4,7,7,6,2,5,6,3,4,10,7,5,4,6,8,9,8,5,8,9,7,9,6,8,4,8,1,1,4,4,5,2,7,4,4,5,6,5,5,Pengolahan Gbr Data Sci
449,449,7,5,1,3,4,6,9,6,10,8,9,6,10,3,7,8,6,11,5,8,12,10,6,3,8,10,6,5,2,6,6,4,8,6,6,9,9,7,7,8,10,7,9,6,8,9,5,6,10,8,Data Sci IoT
450,450,5,7,7,1,5,5,1,2,4,3,12,10,11,12,11,6,8,8,4,6,7,11,7,4,7,7,9,6,5,7,10,10,9,7,9,8,8,9,4,7,10,10,8,9,9,9,10,12,12,11,Keamanan Komp
451,451,11,9,5,8,8,7,8,6,2,6,12,9,10,9,10,9,6,3,4,6,10,7,5,9,8,5,7,1,1,4,11,7,5,9,8,8,9,12,12,10,5,2,6,1,4,9,11,12,6,10,Pemrograman Web
452,452,2,6,6,1,4,4,6,2,2,4,2,6,5,6,5,9,8,9,4,8,7,10,8,6,8,10,6,5,10,8,4,1,4,4,3,2,5,3,5,4,10,7,4,1,6,3,5,6,5,5,Machine Learning Lanjut
453,453,8,8,9,7,8,6,10,11,3,8,10,12,7,6,9,6,10,3,5,6,12,12,11,9,11,5,9,10,4,7,7,6,10,2,6,6,8,11,9,8,6,10,8,8,8,8,9,10,4,8,Machine Learning Lanjut
454,454,12,9,5,7,8,8,8,6,7,7,8,8,7,9,8,8,10,11,8,9,8,8,4,3,6,6,10,8,7,8,9,6,8,3,6,12,9,9,7,9,10,7,5,7,7,9,6,10,6,8,Pemrograman Web
455,455,6,4,4,4,4,12,12,8,8,10,7,8,9,10,8,6,8,7,10,8,6,2,3,3,4,10,10,6,4,8,8,6,9,9,8,10,6,6,9,8,9,6,8,2,6,6,3,3,6,4,Data Sci IoT
456,456,10,9,6,2,7,2,1,4,5,3,9,8,9,5,8,8,6,8,10,8,6,8,7,10,8,7,8,7,6,7,9,9,5,3,6,8,10,6,7,8,7,9,7,9,8,4,7,8,1,5,Machine Learning Lanjut
457,457,10,8,11,7,9,11,10,11,10,10,9,8,8,7,8,6,8,7,11,8,9,8,10,7,8,11,10,10,7,10,10,10,12,11,11,8,7,3,6,6,11,12,11,12,12,12,10,10,6,10,Data Sci IoT
